id,workstream,title,publisher,url,dataPeriod,retrievalDate,geography,coverage,limitations
TR02,transport,Traveline journey planner,Traveline Information Ltd,https://www.traveline.info/,Current public-transport information,2026-09-05,Great Britain,All 63 locations,Useful for broad mode/network availability; does not itself measure frequency quality in this screen.
TR03,transport,Transport for West Midlands,West Midlands Combined Authority,https://www.tfwm.org.uk/,Current network information,2026-09-05,West Midlands transport area,5 supplied locations,Regional source; Telford lies outside the core TfWM area and is supported mainly by Traveline.
TR04,transport,Bee Network,Transport for Greater Manchester,https://tfgm.com/,Current network information,2026-09-05,Greater Manchester,5 supplied locations,Town-level network evidence; exact stop accessibility varies by neighbourhood.
TR05,transport,Metro,West Yorkshire Combined Authority,https://www.wymetro.com/,Current network information,2026-09-05,West Yorkshire,5 supplied locations,Regional network source; exact frequency and walk access not audited.
TR06,transport,Travel South Yorkshire,South Yorkshire Mayoral Combined Authority,https://www.travelsouthyorkshire.com/,Current network information,2026-09-05,South Yorkshire,4 supplied locations,Regional network source; exact frequency and walk access not audited.
TR07,transport,Nexus,Nexus,https://www.nexus.org.uk/,Current network information,2026-09-05,Tyne and Wear,3 supplied locations,Gateshead national journeys use Newcastle as a practical gateway; transfer time is represented coarsely.
TR08,transport,Merseytravel,Liverpool City Region Combined Authority,https://www.merseytravel.gov.uk/,Current network information,2026-09-05,Liverpool City Region,2 supplied locations,Regional network source; exact neighbourhood access not audited.
TR09,transport,Transport for Wales,Transport for Wales,https://tfw.wales/,Current network information,2026-09-05,Wales and border rail network,6 supplied locations,Official operator/network source; journey times still vary by timetable and connection.
TR10,transport,Transport Nottingham,Nottingham City Council,https://www.transportnottingham.com/,Current network information,2026-09-05,Nottingham,1 supplied location,City-level source; does not establish accessibility for every neighbourhood.
TR11,transport,Blackpool Transport,Blackpool Transport Services,https://www.blackpooltransport.com/,Current network information,2026-09-05,Blackpool and Fylde Coast,1 supplied location,Operator source; service patterns and seasonal demand vary.
ENV001,environment,Explaining the 2022 noise maps,"Department for Environment, Food & Rural Affairs",https://www.gov.uk/government/publications/strategic-noise-mapping-2022/explaining-the-2022-noise-maps,2022 mapping round; published 2024,2026-09-05,"England: major roads, railways, airports and agglomerations",All 57 English candidate locations,"Strategic mapping identifies modelled transport-noise exposure, not interior noise or every local source; used only as a broad screen."
ENV002,environment,Environmental Noise Mapping 2022,Welsh Government / DataMapWales,https://datamap.gov.wales/layergroups/geonode%3AEnvironmental_Noise_Mapping_2022,2022,2026-09-05,"Wales: major roads, major railways and large urban areas",All 6 Welsh candidate locations,Modelled strategic layers omit fine street-level and building-insulation effects; used only as a broad screen.
ENV003,environment,English indices of deprivation 2025,"Ministry of Housing, Communities and Local Government",https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025,2025 release,2026-09-05,England LSOAs,All 57 English candidate locations,Deprivation is not a direct measure of appearance or upkeep and within-town variation is large; used cautiously as context for condition judgements.
ENV004,environment,Welsh Index of Multiple Deprivation 2025,Welsh Government,https://stats.gov.wales/en-GB/c67b9e08-dacc-439a-a244-2fce79b11400,2025,2026-09-05,Wales LSOAs,All 6 Welsh candidate locations,WIMD is not a direct visual-condition measure; physical environment has limited weight and within-town variation is large.
ENV005,environment,OpenStreetMap current map,OpenStreetMap contributors / OpenStreetMap Foundation,https://www.openstreetmap.org/,Live map at retrieval,2026-09-05,Candidate built-up areas,All 63 candidate locations,"Map context supports identification of conspicuous roads, railways, airports, industrial land and broad urban form; it does not establish actual noise, dereliction or upkeep."
