id,workstream,title,publisher,url,dataPeriod,retrievalDate,geography,coverage,limitations
MT-RM-SEARCH-20260907,market_thickness,Rightmove controlled one-bedroom flat result captures,Rightmove,https://www.rightmove.co.uk/property-for-sale.html | https://www.rightmove.co.uk/property-to-rent.html,Snapshot 2026-09-07,2026-09-07,"Rightmove REGION identifiers retained per captured response",40 new broad comparison locations: separate sale and rent captures for 20 expansion locations; Bournemouth–Poole is the sum of two named portal regions,"Controlled light-use capture; exact request URLs, timestamps and HTML response hashes are retained in the expansion release. Headline advertised-result counts are not deduplicated inventories or achieved transactions. Sale and rent exclusions differ. Bournemouth and Poole portal regions may overlap or omit parts of the broad comparison geography."
MT-RM-LOS-20260907,market_thickness,Rightmove controlled location resolver captures,Rightmove,https://los.rightmove.co.uk/typeahead,Snapshot 2026-09-07,2026-09-07,Place-name resolver queries retained per captured response,"20 expansion locations, plus component resolver queries for Bournemouth–Poole and Brighton & Hove",Portal geographies are proprietary. The retained resolver response is required to validate each displayed REGION mapping; broad place and portal geography need not coincide.
TR01,transport,National Rail journey planner,Rail Delivery Group,https://www.nationalrail.co.uk/journey-planner/,Current timetable planner; representative weekday screen,2026-09-05,England and Wales rail network,All 63 locations,"Journey duration varies by date/time and disruption; values are rounded recorded snapshots, not guaranteed schedules."
TR-NATIONAL-20260908-PILOT,transport,"National Rail Journey Planner: Barnsley to Birmingham New Street pilot",Rail Delivery Group,https://www.nationalrail.co.uk/journey-planner/,Journey date 2026-09-11; query/retrieval 2026-09-08,2026-09-08,"Barnsley (BNY) to Birmingham New Street (BHM)",One reviewed route observation; retained screenshots and manifest in 2026-09-08-national-transport-pilot,"Dated public-planner snapshot. The 104-minute one-change selection is the shortest suitable itinerary displayed for departures in 10:00-14:00 after one later-results action. It is not a guarantee, fare/accessibility assessment, frequency measure or door-to-door time. London route and remaining pilot locations are incomplete."
TR-NATIONAL-20260908-PILOT-BARNSLEY-LONDON,transport,"National Rail Journey Planner: Barnsley to London all-stations pilot",Rail Delivery Group,https://www.nationalrail.co.uk/journey-planner/,Journey date 2026-09-11; query/retrieval 2026-09-08,2026-09-08,"Barnsley (BNY) to London (All Stations) group 182",Four visible result captures and expanded selected-itinerary details in 2026-09-08-national-transport-pilot-barnsley-london-resumable,"Dated station-to-station planner snapshot. The selected 155-minute two-change itinerary is the shortest displayed suitable departure in the documented 10:00-14:00 window. It is not guaranteed, door-to-door, fare, frequency or accessibility evidence. Review-only pending the complete pilot."
TR-NATIONAL-20260908-ENDPOINT-CHECK,transport,"National Rail Journey Planner: London all-stations endpoint selection check",Rail Delivery Group,https://www.nationalrail.co.uk/journey-planner/,Visible endpoint searches 2026-09-08,2026-09-08,"Barnsley (BNY) selected as origin; London endpoint control",Two retained form screenshots and manifest entries in 2026-09-08-national-transport-pilot,"The text 'London Terminals' returned no station, but searching 'London' visibly offered and accepted 'London (All Stations)'. These configuration checks are not journey observations or evidence that no London route exists. The documented method uses the visible all-stations group consistently."
TR-NATIONAL-20260908-STATION-MAPPINGS-A,transport,"National Rail Journey Planner: pilot origin-station mappings A",Rail Delivery Group,https://www.nationalrail.co.uk/journey-planner/,Visible origin-station searches 2026-09-08,2026-09-08,"Birmingham, Wolverhampton, Leeds and Manchester",Four CRS-labelled form captures and manifest in 2026-09-08-national-transport-station-mappings-a,"Visible station selections establish the reviewed National Rail origin used for later route observations. They are not journey-time evidence and do not establish accessibility from every part of each broad place."
TR-NATIONAL-20260908-STATIONS-B,transport,"National Rail Journey Planner: pilot origin-station mappings B",Rail Delivery Group,https://www.nationalrail.co.uk/journey-planner/,Visible origin-station searches 2026-09-08,2026-09-08,"Brighton & Hove, Liverpool and Newcastle upon Tyne",Six CRS-labelled form captures and manifest in 2026-09-08-national-transport-station-mappings-b,"Visible station selections establish the reviewed National Rail origin used for later route observations. Search refinements for broad-place naming are retained; mappings are not journey-time or whole-place accessibility evidence."
TR-NATIONAL-20260908-STATION-MAPPINGS-C,transport,"National Rail Journey Planner: pilot origin-station mappings C",Rail Delivery Group,https://www.nationalrail.co.uk/journey-planner/,Visible origin-station searches 2026-09-08,2026-09-08,"Cardiff, Bangor, Reading and Wrexham",Four CRS-labelled form captures and manifest in 2026-09-08-national-transport-station-mappings-c,"Visible station selections establish the reviewed National Rail origin used for later route observations. Wrexham General is a documented principal-station choice over Wrexham Central; mappings are not journey-time evidence."
TR02,transport,Traveline journey planner,Traveline Information Ltd,https://www.traveline.info/,Current public-transport information,2026-09-05,Great Britain,All 63 locations,Useful for broad mode/network availability; does not itself measure frequency quality in this screen.
TR03,transport,Transport for West Midlands,West Midlands Combined Authority,https://www.tfwm.org.uk/,Current network information,2026-09-05,West Midlands transport area,5 supplied locations,Regional source; Telford lies outside the core TfWM area and is supported mainly by Traveline.
TR04,transport,Bee Network,Transport for Greater Manchester,https://tfgm.com/,Current network information,2026-09-05,Greater Manchester,5 supplied locations,Town-level network evidence; exact stop accessibility varies by neighbourhood.
TR05,transport,Metro,West Yorkshire Combined Authority,https://www.wymetro.com/,Current network information,2026-09-05,West Yorkshire,5 supplied locations,Regional network source; exact frequency and walk access not audited.
TR06,transport,Travel South Yorkshire,South Yorkshire Mayoral Combined Authority,https://www.travelsouthyorkshire.com/,Current network information,2026-09-05,South Yorkshire,4 supplied locations,Regional network source; exact frequency and walk access not audited.
TR07,transport,Nexus,Nexus,https://www.nexus.org.uk/,Current network information,2026-09-05,Tyne and Wear,3 supplied locations,Gateshead national journeys use Newcastle as a practical gateway; transfer time is represented coarsely.
TR08,transport,Merseytravel,Liverpool City Region Combined Authority,https://www.merseytravel.gov.uk/,Current network information,2026-09-05,Liverpool City Region,2 supplied locations,Regional network source; exact neighbourhood access not audited.
TR09,transport,Transport for Wales,Transport for Wales,https://tfw.wales/,Current network information,2026-09-05,Wales and border rail network,6 supplied locations,Official operator/network source; journey times still vary by timetable and connection.
TR10,transport,Transport Nottingham,Nottingham City Council,https://www.transportnottingham.com/,Current network information,2026-09-05,Nottingham,1 supplied location,City-level source; does not establish accessibility for every neighbourhood.
TR11,transport,Blackpool Transport,Blackpool Transport Services,https://www.blackpooltransport.com/,Current network information,2026-09-05,Blackpool and Fylde Coast,1 supplied location,Operator source; service patterns and seasonal demand vary.
ENV-AIR-DEFRA-2024,environment,Modelled background pollution data 2024,"Department for Environment, Food & Rural Affairs",https://uk-air.defra.gov.uk/data/pcm-data,2024 annual mean,2026-09-09,Defra 1 km background grid assigned to OA21 population-weighted centroids,All 83 locations and the 7070-BUA national reference have complete population coverage,"Modelled outdoor background NO2, PM2.5 and PM10 concentrations are not property measurements; coastal missing grid cells would use a recorded nearest-cell fallback, of which this release has none."
ENV-NOISE-IOD-WIMD-2025,environment,IoD and WIMD 2025 transport-noise indicators,Ministry of Housing Communities and Local Government / Welsh Government,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025,2021 strategic noise model published in the 2025 deprivation releases,2026-09-09,England and Wales LSOA21 observations aggregated to reviewed April 2024 BUAs,All 83 locations and the 7070-BUA national reference have complete population coverage,"England includes major-airport exposure and shrinkage while Wales covers road and rail; within-country percentile calibration reduces but does not harmonise that difference. Outdoor strategic exposure is not interior or property-level noise."
ENV-GREEN-OS-OPEN-2026-04,environment,OS Open Greenspace April 2026,Ordnance Survey,https://api.os.uk/downloads/v1/products/OpenGreenspace,April 2026 bulk snapshot,2026-09-09,Eligible GB polygons measured from OA21 population-weighted centroids in EPSG:27700,All 83 locations and all 177643 populated OA origins assigned to 7070 BUAs have complete coverage,"Includes only Public Park Or Garden and Playing Field. Product inclusion does not guarantee unrestricted access; straight-line distance and clipped area do not describe route quality or every kind of green space."
ENV-EPC-IOD-WIMD-2025,environment,IoD and WIMD 2025 housing-energy indicators,Ministry of Housing Communities and Local Government / Welsh Government,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025,EPCs 2012-2024 published in the 2025 deprivation releases,2026-09-09,England and Wales LSOA21 observations aggregated to reviewed April 2024 BUAs,All 83 locations and the 7070-BUA national reference have complete population coverage,"England publishes a shrunk deprivation transform while Wales publishes a rounded imputed mean SAP score; within-country percentile calibration reduces but does not harmonise that difference. EPC is not a building-maintenance survey."
ENV-DOMAIN-VALIDATION-2025,environment,Official environment-domain ranks used for validation only,Ministry of Housing Communities and Local Government / Welsh Government,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025,2025 English IoD and WIMD releases,2026-09-10,Population-weighted LSOA21 ranks aggregated separately within England and Wales,All 83 candidate BUAs have complete population coverage,"The English Living Environment and Welsh Physical Environment domains have different definitions and national rank scales. They are retained only for within-country validation and boundary diagnostics and never enter the factor score."
CRIME-ONS-2026-CSP,geography_crime,Reviewed ONS CSP recorded-offence rates; not safety measures,Office for National Statistics / Home Office,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables,2025-04-01 to 2026-03-31; population mid-2024 rounded to 100,2026-09-05,CSP codes and names in crime_geographies.csv; boundary vintage not stated,All 83 locations have named CSP source cells; Kettering and Northampton use matching CSP populations rather than whole-LA values,"Official statistics, not accredited official statistics. Recorded offences reflect reporting and recording; CSP unallocated offences are not assigned. Resident population excludes visitors and commuters. ASB is excluded pending coverage review. Separate offence rates are not a safety score or ranking."
TR-NATIONAL-20260908-STATION-MAPPINGS-FULL,transport,"National Rail station pages: remaining origin-station mappings",Rail Delivery Group,https://www.nationalrail.co.uk/stations/,Station pages current at retrieval,2026-09-08,"One representative National Rail station per remaining broad location",71 station pages and a hash-verified manifest in 2026-09-08-national-transport-station-mappings-full,"Station pages verify station identity and CRS. Each selection remains a representative broad-place origin, not a whole-place accessibility measurement or journey-time observation."
TR-NATIONAL-20260908-DIRECT-SUPPLEMENT,transport,"National Rail Journey Planner: full-route supplement",Rail Delivery Group,https://jpservices.nationalrail.co.uk/journey-planner,Journey date 2026-09-11; requests retrieved 2026-09-08,2026-09-08,"Reviewed representative origin stations to London (All Stations) and Birmingham New Street",142 non-pilot routes with four retained JSON searches per route and a hash-verified manifest in 2026-09-08-national-transport-direct-supplement,"Dated Journey Planner snapshots. Review selects the shortest returned itinerary departing in the documented window without a mode-based filter. They are not guaranteed, door-to-door, fare, frequency or accessibility measures. Together with the accepted direct pilot release, this covers the screen for review only."
TR-LOCAL-DFT-2025,local_transport,Transport connectivity metric 2025: public-transport overall score,Department for Transport,https://www.gov.uk/government/publications/transport-connectivity-metric,Q4 2024 transport and destination data; 2023 provisional BRES employment data,2026-09-09,2021 Output Areas aggregated to reviewed April 2024 built-up areas,All 83 locations; complete expected population coverage,"Modelled scheduled opportunity to reach employment, services and social engagements; not fares, crowding, cancellations, reliability, personal security, step-free access or access from a particular home. Aggregation uses Census 2021 usual-resident population and the official OA-to-BUA best-fit lookup."
DIGITAL-OFCOM-CN-SPRING-2025,digital_connectivity,Connected Nations update Spring 2025: residential gigabit availability,Ofcom,https://www.ofcom.org.uk/phones-and-broadband/coverage-and-speeds/connected-nations-update-spring-2025,January 2025 availability snapshot,2026-09-11,Residential premises in 2021 Census Output Areas aggregated to reviewed April 2024 built-up areas,All 83 locations have positive residential-premise coverage,"Provider-reported gigabit-capable fixed-broadband availability; Ofcom collected the wider fixed-coverage release from nearly 70 fixed-network and fixed-wireless providers. This is not observed or guaranteed speed, take-up, price, reliability, latency, service quality or in-home performance. Premises use Ordnance Survey AddressBase Epoch 115. OAs absent from the residential file do not enter either premise count; matched-premise and OA-row coverage diagnostics are retained."
