location_id,assessment,confidence,evidence_ids,method_version,reason
barnsley,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Industrial legacy and uneven renewal make the overall fabric less consistently cared-for; this is a coarse judgement.
halifax,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Outstanding civic and industrial architecture is tempered by deprivation and uneven upkeep in parts of the town.
hartlepool,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"The marina and heritage areas are positives, while deprivation and extensive industrial/post-industrial fabric reduce consistency."
huddersfield,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Strong stone architecture and landscape setting are balanced by traffic-heavy approaches and uneven central upkeep.
hull-kingston-upon-hull,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Renewed old town and waterfront areas coexist with extensive deprived and industrial urban fabric.
ipswich,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Waterfront renewal and historic fabric are balanced by uneven centre, arterial and industrial areas."
kettering,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Historic pockets and ordinary maintained suburbs are balanced by traffic and commercial-edge fabric.
lancaster,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Coherent historic architecture, river and nearby landscape support a favourable broad condition judgement."
leeds,mixed,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A strong renewed centre, civic fabric and parks support pleasantness, though conditions vary considerably."
leicester,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Historic and renewed central pockets coexist with traffic-heavy and uneven fabric, yielding a mixed judgement."
lincoln,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,Cathedral-quarter heritage and a distinctive setting support a favourable judgement despite mixed lower-city approaches.
liverpool,mixed,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Exceptional civic and waterfront fabric plus renewal outweigh, but do not remove, marked variation and deprived areas."
loughborough,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,A functional centre and greener university/residential fabric are balanced by ordinary industrial and arterial areas.
manchester,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Extensive renewal, civic architecture and active public realm support a favourable score despite pronounced spatial inequality."
merthyr-tydfil,mixed,Low,ENV002;ENV004;ENV005,broad-assessment-v1,Dramatic landscape and heritage are offset by concentrated deprivation and uneven post-industrial town fabric.
middlesbrough,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Regeneration and civic assets are outweighed in the broad screen by deprived, industrial and traffic-dominated fabric."
neath,mixed,Low,ENV002;ENV004;ENV005,broad-assessment-v1,"Historic and landscape assets are balanced by traffic, industry and uneven post-industrial fabric."
newcastle-upon-tyne,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Strong historic streets, river setting and public realm support a favourable condition score despite uneven outer fabric."
newport,mixed,Low,ENV002;ENV004;ENV005,broad-assessment-v1,"Riverfront renewal and heritage pockets are offset by substantial deprived, traffic-heavy and post-industrial fabric."
northampton,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Historic and maintained residential pockets are balanced by road-dominated growth and uneven central fabric.
norwich,highest,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Exceptionally coherent historic fabric, waterways, parks and a generally attractive centre support the highest condition score."
nottingham,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Historic, civic and renewed central districts plus strong parks support a favourable score despite spatial variation."
peterborough,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Cathedral and riverside assets are balanced by traffic-dominated modern growth and uneven central/edge fabric.
plymouth,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Waterfront, parks and historic assets support a favourable judgement despite reconstructed and uneven inner fabric."
portsmouth,mixed,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Historic waterfront, seafront and coherent terraces support pleasantness, despite density and traffic pressure."
preston,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Civic and park assets are balanced by traffic-heavy approaches and uneven centre/industrial fabric.
rotherham,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Renewal and heritage pockets are outweighed by extensive industrial, arterial and deprived urban fabric."
salford,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Major waterfront regeneration coexists with traffic infrastructure, deprivation and highly uneven urban fabric."
sheffield,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Strong parks, stone neighbourhood fabric and renewed centre support a favourable judgement despite marked variation."
shrewsbury,highest,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Exceptional historic fabric, river setting and coherent public realm support the highest broad condition score."
st-helens,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Regeneration efforts are offset by extensive post-industrial, deprived and traffic-dominated fabric."
stafford,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Historic centre, waterways and generally maintained residential fabric support a favourable broad judgement."
stockport,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A strong historic market core, viaduct and generally attractive residential fabric support a favourable score despite traffic corridors."
stockton-on-tees,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"High-street and riverside renewal is balanced by industrial, deprived and uneven surrounding fabric."
stoke-on-trent,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Ceramic heritage and renewal pockets are offset by vacancy, deprivation and fragmented post-industrial urban fabric."
sunderland,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Seafront and renewed riverside/civic areas are positives, while deprived and post-industrial fabric remains extensive."
swansea,favourable,Medium,ENV002;ENV004;ENV005,broad-assessment-v1,"Bay, parks and waterfront renewal support a favourable judgement despite uneven centre and post-industrial corridors."
swindon,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Maintained residential and park areas are balanced by road-dominated modern form and uneven central fabric.
telford,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Green space and maintained newer districts are balanced by fragmented, car-oriented townscape and industrial edges."
torbay,favourable,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Coastal scenery, parks and resort heritage support a favourable score despite pockets of deprivation and uneven upkeep."
wakefield,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,Historic and cultural assets are balanced by traffic infrastructure and uneven post-industrial urban fabric.
walsall,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Civic and park pockets are outweighed by traffic-dominated, industrial and deprived urban fabric in the broad screen."
warrington,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Waterways and maintained districts are balanced by logistics, road infrastructure and a mixed town centre."
wigan,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Renewal and historic pockets are balanced by post-industrial, traffic-heavy and uneven centre fabric."
wolverhampton,mixed,Low,ENV001;ENV003;ENV005,broad-assessment-v1,"Civic assets and renewal are offset by extensive deprived, traffic-dominated and post-industrial fabric."
worcester,highest,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Coherent historic centre, river setting and generally attractive urban fabric support the highest condition score."
wrexham,mixed,Low,ENV002;ENV004;ENV005,broad-assessment-v1,"Historic and maintained pockets are balanced by industrial edges and a mixed, sometimes uneven centre."
