location_id,assessment,confidence,evidence_ids,method_version,reason
portsmouth,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Dense island roads, rail, ferry/naval port activity and nightlife make quietness relatively difficult at city scale."
preston,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M6/M55 approaches, major rail, ring-road traffic and nightlife create substantial transport-noise exposure."
rotherham,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M1/M18 approaches, rail, steel industry and freight corridors create conspicuous persistent noise sources."
salford,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Motorways, rail, dense Manchester urban activity and nightlife/venue areas create widespread noise pressure."
sheffield,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Arterial roads, rail, tram, industry and nightlife create busy corridors, but hills and extensive green space moderate the city-wide score."
shrewsbury,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Bypass roads and rail are clear sources, but the compact town and rural edge offer broadly lower urban intensity."
st-helens,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M62 access, arterial roads, rail and industrial/logistics land create multiple noise corridors."
stafford,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M6 and West Coast Main Line corridors are conspicuous, but the smaller town has substantial quieter fabric away from them."
stockport,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M60, A6, dense rail and Manchester Airport flight paths create significant transport-noise exposure."
stockton-on-tees,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A19/A66, rail and nearby Teesside industry create prominent and persistent noise sources."
stoke-on-trent,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A500/M6 access, rail and dispersed industrial land create widespread road and industrial noise corridors."
sunderland,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"A19 approaches, Metro/rail, port industry and nightlife create multiple urban noise sources."
swansea,lower_intensity,Medium,ENV002;ENV004;ENV005,broad-assessment-v1,"M4/A483 approaches, rail, port and nightlife create corridors of noise, moderated by the coastal setting and lower-intensity areas."
swindon,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M4 access, a busy rail corridor and broad arterial roads create substantial transport-noise exposure."
telford,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M54/A442 traffic and dispersed industrial estates create local noise, but low-density form reduces continuous urban intensity."
torbay,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Seasonal visitor traffic, rail and resort nightlife create hotspots, but much of the coastal conurbation is lower-intensity."
wakefield,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M1/M62 approaches, major rail and arterial traffic create multiple persistent noise corridors."
walsall,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M6, dense arterial roads, rail and industrial land create widespread transport and industrial noise pressure."
warrington,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M6/M62/M56, busy railways and extensive logistics/industry create unusually dense transport-noise corridors."
wigan,mixed_exposure,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M6/M61 access, rail and arterial roads create clear corridors, but overall activity is below major-city intensity."
wolverhampton,persistent_noise,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"Ring roads, rail/Metro, industry and nearby motorway corridors create substantial persistent noise pressure."
worcester,lower_intensity,Medium,ENV001;ENV003;ENV005,broad-assessment-v1,"M5 and railways create defined corridors, but the small historic city has much lower-intensity fabric away from them."
wrexham,mixed_exposure,Medium,ENV002;ENV004;ENV005,broad-assessment-v1,"A483, rail and large industrial estates create noticeable corridors, while the town's scale limits continuous intensity."
